epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,73.8266,1.26625,1.0067,1.00682,0.75392,0.45504,0.54249,0.27654,4.11229,3.4887,4.46156,0.000997513,0.000997513,0.000997513
63,75.089,1.44697,1.05408,0.97981,0.75392,0.45504,0.54249,0.27654,4.11229,3.4887,4.46156,0.00099044,0.00099044,0.00099044
64,76.2713,1.18632,1.07911,0.99622,0.7468,0.44758,0.51707,0.27451,4.07229,3.47622,4.90869,0.000983366,0.000983366,0.000983366
65,77.5676,1.28767,1.09477,0.97598,0.7468,0.44758,0.51707,0.27451,4.07229,3.47622,4.90869,0.000976293,0.000976293,0.000976293
66,78.8113,1.38376,1.09326,0.98015,0.6354,0.45947,0.47824,0.274,4.04142,3.47065,5.41672,0.000969219,0.000969219,0.000969219
67,79.9597,1.31756,1.02087,0.99353,0.6354,0.45947,0.47824,0.274,4.04142,3.47065,5.41672,0.000962146,0.000962146,0.000962146
68,81.1567,1.41774,1.01572,1.02276,0.62935,0.42621,0.46243,0.26542,4.02793,3.44263,5.46482,0.000955072,0.000955072,0.000955072
69,82.3775,1.24176,0.94952,0.96322,0.62935,0.42621,0.46243,0.26542,4.02793,3.44263,5.46482,0.000947999,0.000947999,0.000947999
70,83.637,1.20644,1.14144,1.00446,0.72426,0.40774,0.50278,0.28242,3.97619,3.36327,5.61846,0.000940925,0.000940925,0.000940925
71,84.7718,1.25959,1.11297,0.99001,0.72426,0.40774,0.50278,0.28242,3.97619,3.36327,5.61846,0.000933851,0.000933851,0.000933851
72,85.9732,1.12827,1.21717,0.97504,0.79525,0.41458,0.52512,0.28273,3.94051,3.31386,5.92211,0.000926778,0.000926778,0.000926778
73,87.358,1.18214,0.95689,0.9567,0.79525,0.41458,0.52512,0.28273,3.94051,3.31386,5.92211,0.000919704,0.000919704,0.000919704
74,88.6944,1.5098,1.02899,0.96525,0.76379,0.44865,0.52961,0.27946,3.97393,3.25159,5.53804,0.000912631,0.000912631,0.000912631
75,89.8467,1.63157,1.03308,0.9706,0.76379,0.44865,0.52961,0.27946,3.97393,3.25159,5.53804,0.000905557,0.000905557,0.000905557
76,91.0245,1.22791,0.9476,0.90521,0.71942,0.46817,0.51535,0.28778,3.98213,3.18896,5.04345,0.000898484,0.000898484,0.000898484
77,92.1699,1.24937,1.10663,0.96083,0.71942,0.46817,0.51535,0.28778,3.98213,3.18896,5.04345,0.00089141,0.00089141,0.00089141
78,93.3232,1.48532,1.0157,0.94805,0.7112,0.48338,0.52147,0.28927,4.06892,3.14475,4.55636,0.000884337,0.000884337,0.000884337
79,94.44,1.52114,1.1165,0.93834,0.7112,0.48338,0.52147,0.28927,4.06892,3.14475,4.55636,0.000877263,0.000877263,0.000877263
80,95.5868,1.2285,0.88763,0.95896,0.73092,0.50919,0.53643,0.28791,4.09526,3.11457,4.53962,0.00087019,0.00087019,0.00087019
81,96.7233,1.7998,2.22682,1.14514,0.73092,0.50919,0.53643,0.28791,4.09526,3.11457,4.53962,0.000863116,0.000863116,0.000863116
82,97.9065,1.25016,0.8806,0.94241,0.7486,0.52813,0.55681,0.28511,4.15034,3.09135,4.59342,0.000856042,0.000856042,0.000856042
83,99.0468,1.43833,1.03948,0.94666,0.7486,0.52813,0.55681,0.28511,4.15034,3.09135,4.59342,0.000848969,0.000848969,0.000848969
84,100.188,1.12171,0.86508,0.93666,0.74638,0.52499,0.5536,0.30082,4.202,3.05872,4.60795,0.000841895,0.000841895,0.000841895
85,101.319,1.26818,0.8709,0.926,0.74638,0.52499,0.5536,0.30082,4.202,3.05872,4.60795,0.000834822,0.000834822,0.000834822
86,102.458,1.59194,1.11824,0.9716,0.81634,0.55163,0.57048,0.31642,4.25872,3.03403,4.56935,0.000827748,0.000827748,0.000827748
87,103.585,1.07412,1.20417,0.93836,0.81634,0.55163,0.57048,0.31642,4.25872,3.03403,4.56935,0.000820675,0.000820675,0.000820675
